"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-01-20","CLE",100,95,26,55,0.4727272727272727,11,38,0.2894736842105263,0.2894736842105263,10,32,20,27,6,0.6153846153846154,0.6153846153846154,0.8181818181818182,0.40860215053763443,0.5585865591397849,0.45698924731182794,0.475,0,6,0.10909090909090909,0,0
"2024-01-22","SAC",102,107,22,53,0.41509433962264153,14,40,0.35,0.35,21,16,28,33,9,0.36363636363636365,0.47058823529411764,0.7857142857142857,0.43010752688172044,0.5304758064516129,0.46236559139784944,0.5,10,2,0.03773584905660377,0,0
"2024-01-24","GSW",99,112,25,51,0.49019607843137253,14,43,0.32558139534883723,0.32558139534883723,20,34,16,39,3,0.68,0.7727272727272727,0.9285714285714286,0.4574468085106383,0.4953212765957447,0.48936170212765956,0.5333333333333333,6,9,0.17647058823529413,0,0
"2024-01-26","DAL",107,143,36,63,0.5714285714285714,15,34,0.4411764705882353,0.4411764705882353,26,40,32,36,9,0.5555555555555556,0.5882352941176471,0.8,0.35051546391752575,0.5507860824742269,0.6030927835051546,0.6441441441441441,4,5,0.07936507936507936,0,0
"2024-01-28","TOR",102,126,38,68,0.5588235294117647,6,27,0.2222222222222222,0.23076923076923078,32,42,34,18,0,0.5526315789473685,0.7,1,0.28421052631578947,0.574102659574468,0.49473684210526314,0.5575221238938053,16,3,0.04411764705882353,0,0
"2024-01-30","LAL",108,138,37,63,0.5873015873015873,16,38,0.42105263157894735,0.42105263157894735,16,40,34,36,12,0.5405405405405406,0.6060606060606061,0.75,0.37623762376237624,0.5787391089108911,0.6039603960396039,0.6272727272727273,8,3,0.047619047619047616,0,0
"2024-02-02","PHX",100,129,32,51,0.6274509803921569,17,44,0.38636363636363635,0.38636363636363635,14,38,26,30,21,0.59375,0.6551724137931034,0.5882352941176471,0.4631578947368421,0.5796468421052632,0.6052631578947368,0.6213592233009708,6,5,0.09803921568627451,0,0
"2024-02-03","GSW",114,141,41,71,0.5774647887323944,14,43,0.32558139534883723,0.3333333333333333,17,38,44,24,18,0.4634146341463415,0.5428571428571428,0.5714285714285714,0.37719298245614036,0.541503982300885,0.543859649122807,0.5778688524590164,12,5,0.07042253521126761,2,0.046511627906976744
"2024-02-05","LAC",102,144,31,56,0.5535714285714286,20,39,0.5128205128205128,0.5128205128205128,22,32,30,57,3,0.5161290322580645,0.5925925925925926,0.95,0.4105263157894737,0.5662863157894736,0.6421052631578947,0.6792452830188679,8,5,0.08928571428571429,0,0
"2024-02-07","BOS",104,117,30,61,0.4918032786885246,13,41,0.3170731707317073,0.3333333333333333,18,28,32,30,9,0.4666666666666667,0.56,0.7692307692307693,0.4019607843137255,0.521870707070707,0.4852941176470588,0.5318181818181819,10,8,0.13114754098360656,1,0.024390243902439025
"2024-02-09","PHI",99,127,26,45,0.5777777777777777,16,36,0.4444444444444444,0.4444444444444444,27,36,16,39,9,0.6923076923076923,0.75,0.8125,0.4444444444444444,0.5523234567901234,0.6172839506172839,0.6614583333333334,4,6,0.13333333333333333,0,0
"2024-02-10","HOU",105,122,26,47,0.5531914893617021,14,41,0.34146341463414637,0.34146341463414637,28,30,22,30,12,0.5769230769230769,0.625,0.7142857142857143,0.4659090909090909,0.5770772727272727,0.5340909090909091,0.587378640776699,4,6,0.1276595744680851,0,0
"2024-02-12","CHI",103,126,30,51,0.5882352941176471,14,43,0.32558139534883723,0.32558139534883723,24,40,20,39,3,0.6666666666666666,0.8,0.9285714285714286,0.4574468085106383,0.5653505319148936,0.5425531914893617,0.5943396226415094,10,2,0.0392156862745098,0,0
"2024-02-14","CHA",97,99,27,51,0.5294117647058824,9,38,0.23684210526315788,0.24324324324324326,18,32,22,21,6,0.5925925925925926,0.6666666666666666,0.7777777777777778,0.42696629213483145,0.5435789772727273,0.4550561797752809,0.5051020408163265,6,4,0.0784313725490196,0,0
"2024-02-23","TOR",100,121,34,67,0.5074626865671642,12,39,0.3076923076923077,0.3157894736842105,17,30,38,36,0,0.4411764705882353,0.5,1,0.36792452830188677,0.5732828571428571,0.49056603773584906,0.5128205128205128,8,7,0.1044776119402985,0,0
"2024-02-25","ORL",96,109,29,61,0.47540983606557374,12,29,0.41379310344827586,0.41379310344827586,15,38,20,36,0,0.6551724137931034,0.7037037037037037,1,0.32222222222222224,0.5773927777777778,0.5222222222222223,0.5561224489795918,4,9,0.14754098360655737,0,0
"2024-02-27","UTA",104,124,34,61,0.5573770491803278,12,32,0.375,0.375,20,34,34,30,6,0.5,0.6071428571428571,0.8333333333333334,0.34408602150537637,0.5557698924731183,0.5591397849462365,0.6019417475728155,12,4,0.06557377049180328,0,0
"2024-02-29","BKN",91,97,29,58,0.5,8,28,0.2857142857142857,0.3076923076923077,15,26,32,15,9,0.4482758620689655,0.48148148148148145,0.625,0.32558139534883723,0.5176363095238096,0.47674418604651164,0.5159574468085106,4,3,0.05172413793103448,1,0.03571428571428571
"2024-03-02","BKN",93,102,26,53,0.49056603773584906,11,34,0.3235294117647059,0.3235294117647059,17,28,24,27,6,0.5384615384615384,0.56,0.8181818181818182,0.39080459770114945,0.5208459770114943,0.4885057471264368,0.5260416666666666,2,8,0.1509433962264151,0,0
"2024-03-05","NYK",95,116,34,56,0.6071428571428571,10,31,0.3225806451612903,0.3225806451612903,18,36,32,24,6,0.5294117647058824,0.6,0.8,0.3563218390804598,0.5660327586206897,0.5632183908045977,0.6041666666666666,8,6,0.10714285714285714,0,0
"2024-03-06","CLE",94,112,32,54,0.5925925925925926,11,30,0.36666666666666664,0.36666666666666664,15,34,30,30,3,0.53125,0.53125,0.9090909090909091,0.35714285714285715,0.5553214285714285,0.5773809523809523,0.6032608695652174,0,4,0.07407407407407407,0,0
"2024-03-08","MEM",87,99,22,52,0.4230769230769231,15,35,0.42857142857142855,0.42857142857142855,10,18,26,36,9,0.4090909090909091,0.4090909090909091,0.8,0.40229885057471265,0.4912385057471264,0.5114942528735632,0.532258064516129,0,11,0.21153846153846154,0,0
"2024-03-10","NOP",94,103,21,45,0.4666666666666667,17,46,0.3695652173913043,0.3695652173913043,10,28,14,42,9,0.6666666666666666,0.7777777777777778,0.8235294117647058,0.5054945054945055,0.5394516666666667,0.510989010989011,0.5309278350515464,6,6,0.13333333333333333,1,0.021739130434782608
